seed,instance_type,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
0,1,79,100,2,10,1,2500,10,0.025,0.5,6,1,1,150,0,1,0.5,0.05,0,281,0,2377.29,0,6,0,3296,0,7.0,0,396.215,0,7.0,0,0.0,0
0,1,79,100,2,10,5,5000,10,0.025,0.5,2,1,1,150,0,1,0.5,0.05,0,321,0,5000.0,0,16,0,3558,0,2.875,0,312.5,0,7.625,0,24.5222,0
0,1,79,100,2,10,5,2500,10,0.025,0.5,6,4,1,150,30,1,0.5,0.05,0,140,0,2436.33,0,5,0,11040,0,3.4,0,487.265,0,9.0,0,0.0,0
0,1,79,100,2,10,1,5000,10,0.025,0.5,6,4,1,150,30,1,0.5,0.05,0,277,0,4924.46,0,8,0,25482,0,4.5,0,615.558,0,4.5,0,0.0,0
0,1,79,100,2,10,1,2500,5,0.025,0.5,6,4,1,150,30,1,0.5,0.05,0,149,0,2499.13,0,5,0,10712,0,3.8,0,499.827,0,3.8,0,0.0,0
0,1,79,100,2,10,1,2500,5,0.025,0.5,3,4,1,150,30,1,0.5,0.05,0,128,0,2313.89,0,4,0,10712,0,3.75,0,578.472,0,3.75,0,22.6978,0
0,1,79,100,2,10,1,2500,10,0.025,0.5,3,4,1,150,30,1,0.5,0.05,0,150,0,2493.81,0,2,0,20704,0,10.0,0,1246.9,0,10.0,0,23.2964,0
0,1,79,100,2,10,5,5000,10,0.025,0.5,2,4,1,150,30,1,0.5,0.05,0,255,0,4992.0,0,9,0,13315,0,3.77778,0,554.667,0,9.33333,0,30.5004,0
0,1,79,100,2,10,1,2500,5,0.025,0.5,6,1,1,150,0,1,0.5,0.05,0,255,0,2471.36,0,8,0,3296,0,4.5,0,308.92,0,4.5,0,0.0,0
0,1,79,100,2,10,1,5000,5,0.025,0.5,6,1,1,150,0,1,0.5,0.05,0,354,0,4929.53,0,15,0,3558,0,3.73333,0,328.636,0,3.73333,0,0.0,0
0,1,79,100,2,10,1,2500,10,0.025,0.5,2,4,1,150,30,1,0.5,0.05,0,161,0,2497.0,0,3,0,20704,0,6.66667,0,832.333,0,6.66667,0,23.2964,0
0,1,79,100,2,10,5,2500,10,0.025,0.5,3,4,1,150,30,1,0.5,0.05,0,109,0,2472.21,0,4,0,11040,0,3.75,0,618.053,0,8.75,0,24.4678,0
0,1,79,100,2,10,5,5000,10,0.025,0.5,6,1,1,150,0,1,0.5,0.05,0,330,0,4710.43,0,17,0,3558,0,2.88235,0,277.084,0,8.0,0,0.0,0
0,1,79,100,2,10,5,2500,10,0.025,0.5,3,1,1,150,0,1,0.5,0.05,0,167,0,2343.44,0,5,0,3296,0,4.4,0,468.689,0,9.4,0,21.3489,0
0,1,79,100,2,10,1,2500,5,0.025,0.5,0,1,1,150,0,1,0.5,0.05,0,255,0,2485.39,0,8,0,3296,0,4.5,0,310.673,0,4.5,0,21.3489,0
0,1,79,100,2,10,5,2500,10,0.025,0.5,6,1,1,150,0,1,0.5,0.05,0,223,0,2489.77,0,9,0,3296,0,3.33333,0,276.641,0,9.0,0,0.0,0
0,1,79,100,2,10,5,2500,5,0.025,0.5,6,1,1,150,0,1,0.5,0.05,0,164,0,2377.89,0,10,0,1562,0,2.3,0,237.789,0,4.6,0,0.0,0
0,1,79,100,2,10,1,5000,10,0.025,0.5,2,1,1,150,0,1,0.5,0.05,0,400,0,4721.0,0,10,0,3558,0,6.2,0,472.1,0,6.2,0,24.5222,0
0,1,79,100,2,10,1,5000,10,0.025,0.5,3,1,1,150,0,1,0.5,0.05,0,294,0,3329.31,0,5,0,3558,0,9.2,0,665.863,0,9.2,0,24.5222,0
0,1,79,100,2,10,5,5000,10,0.025,0.5,6,4,1,150,30,1,0.5,0.05,0,255,0,4986.87,0,10,0,13315,0,3.3,0,498.687,0,8.5,0,0.0,0
0,1,79,100,2,10,1,5000,10,0.025,0.5,2,4,1,150,30,1,0.5,0.05,0,298,0,4995.0,0,4,0,25482,0,10.0,0,1248.75,0,10.0,0,29.7274,0
0,1,79,100,2,10,5,2500,5,0.025,0.5,0,1,1,150,0,1,0.5,0.05,0,170,0,2497.54,0,10,0,1562,0,2.3,0,249.754,0,4.6,0,20.5896,0
0,1,79,100,2,10,5,5000,5,0.025,0.5,3,4,1,150,30,1,0.5,0.05,0,153,0,4943.45,0,12,0,2903,0,1.91667,0,411.954,0,4.41667,0,26.7062,0
0,1,79,100,2,10,5,5000,5,0.025,0.5,3,1,1,150,0,1,0.5,0.05,0,195,0,4967.54,0,16,0,1678,0,1.875,0,310.471,0,4.4375,0,23.6144,0
0,1,79,100,2,10,1,2500,10,0.025,0.5,2,1,1,150,0,1,0.5,0.05,0,296,0,2494.0,0,5,0,3296,0,8.6,0,498.8,0,8.6,0,21.3489,0
0,1,79,100,2,10,5,2500,10,0.025,0.5,2,4,1,150,30,1,0.5,0.05,0,141,0,2499.0,0,5,0,11040,0,3.6,0,499.8,0,9.2,0,24.4678,0
0,1,79,100,2,10,5,5000,5,0.025,0.5,6,4,1,150,30,1,0.5,0.05,0,209,0,4902.59,0,13,0,2903,0,2.07692,0,377.122,0,4.46154,0,0.0,0
0,1,79,100,2,10,1,5000,5,0.025,0.5,0,1,1,150,0,1,0.5,0.05,0,392,0,4966.31,0,16,0,3558,0,3.6875,0,310.395,0,3.6875,0,24.5222,0
0,1,79,100,2,10,1,2500,5,0.025,0.5,3,1,1,150,0,1,0.5,0.05,0,181,0,2469.59,0,10,0,3296,0,2.8,0,246.959,0,2.8,0,21.3489,0
0,1,79,100,2,10,5,2500,5,0.025,0.5,2,4,1,150,30,1,0.5,0.05,0,116,0,2490.0,0,6,0,2575,0,2.66667,0,415.0,0,4.66667,0,22.235,0
0,1,79,100,2,10,1,2500,10,0.025,0.5,0,1,1,150,0,1,0.5,0.05,0,296,0,2491.45,0,5,0,3296,0,8.6,0,498.291,0,8.6,0,21.3489,0
0,1,79,100,2,10,1,2500,10,0.025,0.5,6,4,1,150,30,1,0.5,0.05,0,152,0,2477.28,0,4,0,20704,0,4.75,0,619.32,0,4.75,0,0.0,0
0,1,79,100,2,10,1,2500,5,0.025,0.5,2,1,1,150,0,1,0.5,0.05,0,255,0,2475.0,0,7,0,3296,0,5.0,0,353.571,0,5.0,0,21.3489,0
0,1,79,100,2,10,5,2500,10,0.025,0.5,2,1,1,150,0,1,0.5,0.05,0,226,0,2498.0,0,8,0,3296,0,3.875,0,312.25,0,9.5,0,21.3489,0
0,1,79,100,2,10,1,5000,10,0.025,0.5,3,4,1,150,30,1,0.5,0.05,0,244,0,4735.8,0,5,0,25482,0,7.2,0,947.159,0,7.2,0,29.7274,0
0,1,79,100,2,10,5,2500,5,0.025,0.5,3,4,1,150,30,1,0.5,0.05,0,88,0,2470.0,0,7,0,2575,0,1.71429,0,352.857,0,3.71429,0,22.235,0
0,1,79,100,2,10,5,2500,5,0.025,0.5,6,4,1,150,30,1,0.5,0.05,0,112,0,2332.64,0,6,0,2575,0,2.33333,0,388.773,0,4.66667,0,0.0,0
0,1,79,100,2,10,5,2500,10,0.025,0.5,0,1,1,150,0,1,0.5,0.05,0,226,0,2493.52,0,8,0,3296,0,3.875,0,311.689,0,9.5,0,21.3489,0
0,1,79,100,2,10,1,5000,5,0.025,0.5,2,1,1,150,0,1,0.5,0.05,0,365,0,4500.0,0,12,0,3558,0,4.16667,0,375.0,0,4.16667,0,24.5222,0
0,1,79,100,2,10,5,2500,5,0.025,0.5,3,1,1,150,0,1,0.5,0.05,0,110,0,2355.66,0,10,0,1562,0,1.9,0,235.566,0,4.2,0,20.5896,0
0,1,79,100,2,10,5,5000,10,0.025,0.5,0,1,1,150,0,1,0.5,0.05,0,350,0,4952.74,0,18,0,3558,0,2.88889,0,275.152,0,7.83333,0,24.5222,0
0,1,79,100,2,10,1,5000,5,0.025,0.5,3,4,1,150,30,1,0.5,0.05,0,205,0,4882.36,0,8,0,12337,0,4.0,0,610.295,0,4.0,0,27.7003,0
0,1,79,100,2,10,1,5000,5,0.025,0.5,3,1,1,150,0,1,0.5,0.05,0,253,0,4818.65,0,15,0,3558,0,2.53333,0,321.243,0,2.53333,0,24.5222,0
0,1,79,100,2,10,1,5000,5,0.025,0.5,6,4,1,150,30,1,0.5,0.05,0,272,0,4863.47,0,8,0,12337,0,4.375,0,607.934,0,4.375,0,0.0,0
0,1,79,100,2,10,5,5000,5,0.025,0.5,2,1,1,150,0,1,0.5,0.05,0,253,0,4996.0,0,16,0,1678,0,2.1875,0,312.25,0,4.625,0,23.6144,0
0,1,79,100,2,10,1,5000,5,0.025,0.5,2,4,1,150,30,1,0.5,0.05,0,276,0,4992.0,0,8,0,12337,0,4.5,0,624.0,0,4.5,0,27.7003,0
0,1,79,100,2,10,1,5000,10,0.025,0.5,0,1,1,150,0,1,0.5,0.05,0,433,0,4987.93,0,11,0,3558,0,6.27273,0,453.448,0,6.27273,0,24.5222,0
0,1,79,100,2,10,1,2500,5,0.025,0.5,2,4,1,150,30,1,0.5,0.05,0,149,0,2470.0,0,4,0,10712,0,4.5,0,617.5,0,4.5,0,22.6978,0
0,1,79,100,2,10,5,5000,5,0.025,0.5,6,1,1,150,0,1,0.5,0.05,0,252,0,4636.88,0,17,0,1678,0,2.11765,0,272.758,0,4.64706,0,0.0,0
0,1,79,100,2,10,5,2500,5,0.025,0.5,2,1,1,150,0,1,0.5,0.05,0,165,0,2499.0,0,10,0,1562,0,2.3,0,249.9,0,4.5,0,20.5896,0
0,1,79,100,2,10,5,5000,5,0.025,0.5,0,1,1,150,0,1,0.5,0.05,0,276,0,4931.8,0,18,0,1678,0,2.16667,0,273.989,0,4.61111,0,23.6144,0
0,1,79,100,2,10,5,5000,5,0.025,0.5,2,4,1,150,30,1,0.5,0.05,0,203,0,4970.0,0,13,0,2903,0,2.07692,0,382.308,0,4.38462,0,26.7062,0
0,1,79,100,2,10,5,5000,10,0.025,0.5,3,1,1,150,0,1,0.5,0.05,0,234,0,4818.65,0,15,0,3558,0,2.33333,0,321.243,0,6.4,0,24.5222,0
0,1,79,100,2,10,1,2500,10,0.025,0.5,3,1,1,150,0,1,0.5,0.05,0,234,0,2341.81,0,4,0,3296,0,9.0,0,585.453,0,9.0,0,21.3489,0
0,1,79,100,2,10,5,5000,10,0.025,0.5,3,4,1,150,30,1,0.5,0.05,0,177,0,4988.75,0,7,0,13315,0,3.71429,0,712.678,0,9.0,0,30.5004,0
0,1,79,100,2,10,1,5000,10,0.025,0.5,6,1,1,150,0,1,0.5,0.05,0,410,0,4749.93,0,12,0,3558,0,5.5,0,395.827,0,5.5,0,0.0,0
